n,t,mx,z,norm
2.743000000000000000e+03,1.723477729759360591e+04,-1.004525180796295020e-01,1.004525180796295020e-01,1.000000000000043743e+00
2.753000000000000000e+03,1.729760915066540110e+04,-3.019744938073520846e-01,3.019744938073520846e-01,1.000000000000021538e+00
2.764000000000000000e+03,1.736672418904437654e+04,3.850969847571554805e-01,3.850969847571554805e-01,1.000000000000035527e+00
2.775000000000000000e+03,1.743583922742335199e+04,-3.758671547136929192e-01,3.758671547136929192e-01,1.000000000000010658e+00
2.786000000000000000e+03,1.750495426580232743e+04,3.443664859798991618e-01,3.443664859798991618e-01,1.000000000000022204e+00
2.796000000000000000e+03,1.756778611887412262e+04,2.840801186808092349e-01,2.840801186808092349e-01,1.000000000000040412e+00
2.807000000000000000e+03,1.763690115725309806e+04,-5.873340514210163565e-01,5.873340514210163565e-01,1.000000000000008216e+00
2.818000000000000000e+03,1.770601619563207350e+04,2.411768428686491550e-01,2.411768428686491550e-01,1.000000000000009104e+00
2.829000000000000000e+03,1.777513123401104895e+04,-6.140790931516476592e-02,6.140790931516476592e-02,1.000000000000018430e+00
2.840000000000000000e+03,1.784424627239002439e+04,3.981844607928367585e-01,3.981844607928367585e-01,1.000000000000053069e+00
2.851000000000000000e+03,1.791336131076899983e+04,1.929710857695897674e-01,-1.929710857695897674e-01,9.999999999999793499e-01
2.862000000000000000e+03,1.798247634914797527e+04,7.653629641736449038e-03,7.653629641736449038e-03,1.000000000000019096e+00
2.874000000000000000e+03,1.805787457283413096e+04,-1.412267075742957845e-01,-1.412267075742957845e-01,1.000000000000048184e+00
2.885000000000000000e+03,1.812698961121310640e+04,3.701084432297400140e-01,-3.701084432297400140e-01,1.000000000000011990e+00
2.896000000000000000e+03,1.819610464959208184e+04,-2.284074283469176847e-01,-2.284074283469176847e-01,9.999999999999994449e-01
2.907000000000000000e+03,1.826521968797105728e+04,4.223986443975171756e-01,-4.223986443975171756e-01,1.000000000000003997e+00
2.918000000000000000e+03,1.833433472635003272e+04,-3.815989613135566394e-01,-3.815989613135566394e-01,1.000000000000045741e+00
2.930000000000000000e+03,1.840973295003618841e+04,-4.711435781428913172e-01,-4.711435781428913172e-01,9.999999999999547029e-01
2.941000000000000000e+03,1.847884798841516385e+04,4.423214302800514974e-01,-4.423214302800514974e-01,1.000000000000010436e+00
