n,t,mx,z,norm
5.200000000000000000e+01,3.267256359733385125e+02,9.990112204604580937e-01,9.990112204604580937e-01,1.000000000000000000e+00
5.300000000000000000e+01,3.330088212805180774e+02,-9.980604794708081151e-01,9.980604794708081151e-01,9.999999999999936717e-01
5.400000000000000000e+01,3.392920065876976423e+02,9.995785733731534783e-01,9.995785733731534783e-01,9.999999999999990008e-01
5.500000000000000000e+01,3.455751918948772641e+02,-9.983439755624692324e-01,9.983439755624692324e-01,9.999999999999932276e-01
5.600000000000000000e+01,3.518583772020568290e+02,9.991284873579999726e-01,9.991284873579999726e-01,9.999999999999988898e-01
5.700000000000000000e+01,3.581415625092363939e+02,-9.988893865497767699e-01,9.988893865497767699e-01,9.999999999999935607e-01
5.800000000000000000e+01,3.644247478164160157e+02,9.985927209885182565e-01,9.985927209885182565e-01,9.999999999999996669e-01
5.900000000000000000e+01,3.707079331235955806e+02,-9.990858732121102870e-01,9.990858732121102870e-01,9.999999999999945599e-01
6.000000000000000000e+01,3.769911184307751455e+02,9.985120889120896459e-01,9.985120889120896459e-01,1.000000000000000444e+00
6.100000000000000000e+01,3.832743037379547673e+02,-9.988978895297346838e-01,9.988978895297346838e-01,9.999999999999950040e-01
6.200000000000000000e+01,3.895574890451343322e+02,9.986782112873406891e-01,9.986782112873406891e-01,1.000000000000000888e+00
6.300000000000000000e+01,3.958406743523139539e+02,-9.987716286627821294e-01,9.987716286627821294e-01,9.999999999999953371e-01
6.400000000000000000e+01,4.021238596594935188e+02,9.986282200911896778e-01,9.986282200911896778e-01,1.000000000000000888e+00
6.500000000000000000e+01,4.084070449666730838e+02,-9.990437360433699343e-01,9.990437360433699343e-01,9.999999999999945599e-01
6.600000000000000000e+01,4.146902302738527055e+02,9.983160307798153443e-01,9.983160307798153443e-01,1.000000000000000222e+00
6.700000000000000000e+01,4.209734155810322704e+02,-9.987559679432641557e-01,9.987559679432641557e-01,9.999999999999938938e-01
6.800000000000000000e+01,4.272566008882118922e+02,9.987723748009016411e-01,9.987723748009016411e-01,9.999999999999995559e-01
6.900000000000000000e+01,4.335397861953914571e+02,-9.981444958929170941e-01,9.981444958929170941e-01,9.999999999999936717e-01
7.000000000000000000e+01,4.398229715025710220e+02,9.994379122967558260e-01,9.994379122967558260e-01,9.999999999999988898e-01
7.100000000000000000e+01,4.461061568097506438e+02,-9.981620534172104264e-01,9.981620534172104264e-01,9.999999999999936717e-01
7.200000000000000000e+01,4.523893421169302087e+02,9.993544963815104154e-01,9.993544963815104154e-01,9.999999999999993339e-01
7.300000000000000000e+01,4.586725274241097736e+02,-9.989334277466203060e-01,9.989334277466203060e-01,9.999999999999946709e-01
7.400000000000000000e+01,4.649557127312893954e+02,9.985488390224528388e-01,9.985488390224528388e-01,1.000000000000000666e+00
7.500000000000000000e+01,4.712388980384689603e+02,-9.996329661345078055e-01,9.996329661345078055e-01,9.999999999999950040e-01
7.600000000000000000e+01,4.775220833456485252e+02,9.978983377866015303e-01,9.978983377866015303e-01,1.000000000000001332e+00
7.700000000000000000e+01,4.838052686528281470e+02,-9.993621625119137875e-01,9.993621625119137875e-01,9.999999999999947820e-01
7.800000000000000000e+01,4.900884539600077119e+02,9.984178379984407492e-01,9.984178379984407492e-01,1.000000000000000888e+00
7.900000000000000000e+01,4.963716392671873336e+02,-9.984851889823641580e-01,9.984851889823641580e-01,9.999999999999942268e-01
8.000000000000000000e+01,5.026548245743668986e+02,9.994041973485461305e-01,9.994041973485461305e-01,9.999999999999995559e-01
8.100000000000000000e+01,5.089380098815464635e+02,-9.983829997304689563e-01,9.983829997304689563e-01,9.999999999999933387e-01
8.200000000000000000e+01,5.152211951887260284e+02,9.995138167328349033e-01,9.995138167328349033e-01,9.999999999999986677e-01
8.300000000000000000e+01,5.215043804959057070e+02,-9.988291951189945950e-01,9.988291951189945950e-01,9.999999999999928946e-01
8.400000000000000000e+01,5.277875658030852719e+02,9.990838579637753014e-01,9.990838579637753014e-01,9.999999999999985567e-01
8.500000000000000000e+01,5.340707511102648368e+02,-9.990921877156124786e-01,9.990921877156124786e-01,9.999999999999934497e-01
8.600000000000000000e+01,5.403539364174444017e+02,9.988314354049386834e-01,9.988314354049386834e-01,9.999999999999992228e-01
