t_over_T,t,mx,norm
1.074999999999999956e+00,6.754424205218055199e+00,-9.825010299682617188e-01,1.000000000000000000e+00
1.083333333333333259e+00,6.806784082777884493e+00,-9.698486328125000000e-01,1.000000000000000000e+00
1.091666666666666563e+00,6.859143960337714674e+00,-9.472648501396179199e-01,1.000000000000000000e+00
1.100000000000000089e+00,6.911503837897544855e+00,-9.108892679214477539e-01,1.000000000000000000e+00
1.108333333333333171e+00,6.963863715457374148e+00,-8.563925027847290039e-01,9.999999403953552246e-01
1.116666666666666696e+00,7.016223593017204330e+00,-7.797490954399108887e-01,1.000000000000000000e+00
1.125000000000000000e+00,7.068583470577034511e+00,-6.798521876335144043e-01,1.000000000000000000e+00
1.133333333333333304e+00,7.120943348136863804e+00,-5.648501515388488770e-01,1.000000000000000000e+00
1.141666666666666607e+00,7.173303225696693985e+00,-4.609254896640777588e-01,1.000000000000000000e+00
1.149999999999999911e+00,7.225663103256524167e+00,-4.091586768627166748e-01,1.000000000000000000e+00
1.158333333333333215e+00,7.278022980816353460e+00,-4.321707785129547119e-01,1.000000000000000000e+00
1.166666666666666519e+00,7.330382858376183641e+00,-5.088872909545898438e-01,9.999999403953552246e-01
1.175000000000000044e+00,7.382742735936013823e+00,-6.197543144226074219e-01,9.999999403953552246e-01
1.183333333333333348e+00,7.435102613495843116e+00,-7.544592022895812988e-01,1.000000000000000000e+00
1.191666666666666652e+00,7.487462491055673297e+00,-8.072358965873718262e-01,9.999999403953552246e-01
1.199999999999999956e+00,7.539822368615503478e+00,-7.167143225669860840e-01,1.000000000000000000e+00
1.208333333333333259e+00,7.592182246175332772e+00,-5.893045663833618164e-01,9.999999403953552246e-01
1.216666666666666563e+00,7.644542123735162953e+00,-6.031872630119323730e-01,9.999999403953552246e-01
1.225000000000000089e+00,7.696902001294993134e+00,-7.219547033309936523e-01,9.999998807907104492e-01
1.233333333333333171e+00,7.749261878854822427e+00,-7.403111457824707031e-01,9.999999403953552246e-01
1.241666666666666696e+00,7.801621756414652609e+00,-7.262094020843505859e-01,9.999999403953552246e-01
1.250000000000000000e+00,7.853981633974482790e+00,-7.090032696723937988e-01,9.999998807907104492e-01
1.258333333333333304e+00,7.906341511534312083e+00,-6.911285519599914551e-01,1.000000000000000000e+00
1.266666666666666607e+00,7.958701389094142264e+00,-6.728029251098632812e-01,1.000000000000000000e+00
1.274999999999999911e+00,8.011061266653971558e+00,-6.539999842643737793e-01,9.999999403953552246e-01
1.283333333333333215e+00,8.063421144213801739e+00,-6.347308158874511719e-01,1.000000000000000000e+00
1.291666666666666519e+00,8.115781021773631920e+00,-6.150111556053161621e-01,1.000000000000000000e+00
1.300000000000000044e+00,8.168140899333462102e+00,-5.948576927185058594e-01,1.000000000000000000e+00
1.308333333333333348e+00,8.220500776893292283e+00,-5.742875337600708008e-01,1.000000000000000000e+00
1.316666666666666430e+00,8.272860654453120688e+00,-5.533171892166137695e-01,1.000000000000000000e+00
1.324999999999999956e+00,8.325220532012950869e+00,-5.319633483886718750e-01,1.000000000000000000e+00
1.333333333333333259e+00,8.377580409572781051e+00,-5.102424621582031250e-01,1.000000000000000000e+00
1.341666666666666563e+00,8.429940287132611232e+00,-4.881707131862640381e-01,9.999998807907104492e-01
1.350000000000000089e+00,8.482300164692441413e+00,-4.657643437385559082e-01,1.000000000000000000e+00
1.358333333333333393e+00,8.534660042252271595e+00,-4.430395066738128662e-01,1.000000000000000000e+00
1.366666666666666474e+00,8.587019919812099999e+00,-4.200124740600585938e-01,1.000000119209289551e+00
1.374999999999999778e+00,8.639379797371930181e+00,-3.966993689537048340e-01,9.999999403953552246e-01
1.383333333333333304e+00,8.691739674931760362e+00,-3.731164932250976562e-01,9.999999403953552246e-01
1.391666666666666607e+00,8.744099552491590543e+00,-3.492800891399383545e-01,1.000000000000000000e+00
1.399999999999999911e+00,8.796459430051420725e+00,-3.252064287662506104e-01,1.000000000000000000e+00
1.408333333333333437e+00,8.848819307611250906e+00,-3.009118735790252686e-01,1.000000000000000000e+00
1.416666666666666519e+00,8.901179185171079311e+00,-2.764127850532531738e-01,1.000000000000000000e+00
1.424999999999999822e+00,8.953539062730909492e+00,-2.517255842685699463e-01,9.999999403953552246e-01
1.433333333333333348e+00,9.005898940290739674e+00,-2.268667668104171753e-01,1.000000000000000000e+00
1.441666666666666652e+00,9.058258817850569855e+00,-2.018529027700424194e-01,1.000000000000000000e+00
1.449999999999999956e+00,9.110618695410400036e+00,-1.767004132270812988e-01,9.999999403953552246e-01
1.458333333333333481e+00,9.162978572970230218e+00,-1.514260023832321167e-01,1.000000000000000000e+00
