n,t,mx,z,norm
5.714000000000000000e+03,3.590212084522415535e+04,4.292064964795068716e-01,4.292064964795068716e-01,9.999999999998001599e-01
5.737000000000000000e+03,3.604663410728928284e+04,-7.630878303007011532e-01,7.630878303007011532e-01,9.999999999996761479e-01
5.759000000000000000e+03,3.618486418404723372e+04,-5.654786194935861321e-01,5.654786194935861321e-01,9.999999999997695177e-01
5.781000000000000000e+03,3.632309426080518460e+04,-4.968718775231567020e-01,4.968718775231567020e-01,9.999999999997799538e-01
5.804000000000000000e+03,3.646760752287031937e+04,5.940266789595547436e-01,5.940266789595547436e-01,9.999999999999029665e-01
5.826000000000000000e+03,3.660583759962827025e+04,4.369905494887241781e-01,4.369905494887241781e-01,9.999999999999007461e-01
5.849000000000000000e+03,3.675035086169339775e+04,-4.073857357367230425e-01,4.073857357367230425e-01,9.999999999997947198e-01
5.872000000000000000e+03,3.689486412375853251e+04,1.827563131024883269e-01,1.827563131024883269e-01,9.999999999997536415e-01
5.895000000000000000e+03,3.703937738582366001e+04,-3.133656447309647319e-01,3.133656447309647319e-01,9.999999999996798117e-01
5.918000000000000000e+03,3.718389064788879477e+04,4.832970362030158396e-01,4.832970362030158396e-01,9.999999999998236966e-01
5.941000000000000000e+03,3.732840390995392227e+04,-3.751509664614154915e-01,3.751509664614154915e-01,9.999999999998534506e-01
5.964000000000000000e+03,3.747291717201904976e+04,3.770204563511246332e-01,3.770204563511246332e-01,9.999999999998012701e-01
5.987000000000000000e+03,3.761743043408418453e+04,-1.203301301576423787e-01,1.203301301576423787e-01,9.999999999997349898e-01
6.010000000000000000e+03,3.776194369614931202e+04,2.953104288991866833e-01,2.953104288991866833e-01,9.999999999996728173e-01
6.034000000000000000e+03,3.791274014352162339e+04,3.592140915173612226e-01,3.592140915173612226e-01,9.999999999997382094e-01
6.057000000000000000e+03,3.805725340558675089e+04,-2.127708942933100866e-01,2.127708942933100866e-01,9.999999999998017142e-01
6.081000000000000000e+03,3.820804985295906226e+04,-1.705791862577342999e-01,1.705791862577342999e-01,9.999999999997692957e-01
6.104000000000000000e+03,3.835256311502419703e+04,-2.010513702674821546e-01,-2.010513702674821546e-01,9.999999999997509770e-01
6.128000000000000000e+03,3.850335956239650113e+04,-5.222237236640839275e-02,-5.222237236640839275e-02,9.999999999997186695e-01
6.152000000000000000e+03,3.865415600976881251e+04,-2.265758320225408698e-02,-2.265758320225408698e-02,9.999999999997549738e-01
6.176000000000000000e+03,3.880495245714112389e+04,-8.976505842756021813e-02,-8.976505842756021813e-02,9.999999999998240297e-01
6.200000000000000000e+03,3.895574890451343526e+04,-6.473083997351568308e-02,-6.473083997351568308e-02,9.999999999996378452e-01
6.224000000000000000e+03,3.910654535188574664e+04,-2.727642399561429065e-01,-2.727642399561429065e-01,9.999999999998419042e-01
6.248000000000000000e+03,3.925734179925805802e+04,-2.475703809801635957e-01,-2.475703809801635957e-01,9.999999999998238076e-01
6.273000000000000000e+03,3.941442143193754600e+04,3.723212476474407895e-01,-3.723212476474407895e-01,9.999999999997398747e-01
6.297000000000000000e+03,3.956521787930985738e+04,4.526766140233623448e-01,-4.526766140233623448e-01,9.999999999996188604e-01
6.322000000000000000e+03,3.972229751198934537e+04,-1.572437345343427606e-01,-1.572437345343427606e-01,9.999999999998347988e-01
6.346000000000000000e+03,3.987309395936165674e+04,-1.410503617499126727e-01,-1.410503617499126727e-01,9.999999999998452349e-01
6.371000000000000000e+03,4.003017359204114473e+04,2.817628988553447789e-01,-2.817628988553447789e-01,9.999999999996996847e-01
6.396000000000000000e+03,4.018725322472063272e+04,-3.139321023815307421e-01,-3.139321023815307421e-01,9.999999999997580824e-01
6.421000000000000000e+03,4.034433285740012070e+04,4.666735684146853247e-01,-4.666735684146853247e-01,9.999999999999603650e-01
6.446000000000000000e+03,4.050141249007961596e+04,-4.156543452896021562e-01,-4.156543452896021562e-01,9.999999999998997469e-01
6.471000000000000000e+03,4.065849212275910395e+04,4.675343597187835987e-01,-4.675343597187835987e-01,9.999999999997881694e-01
6.496000000000000000e+03,4.081557175543859194e+04,-5.592098601370270039e-01,-5.592098601370270039e-01,9.999999999998778755e-01
