n,t,mx,z,norm
8.600000000000000000e+01,5.403539364174444017e+02,9.986762094109705723e-01,9.986762094109705723e-01,1.000000000000015099e+00
8.700000000000000000e+01,5.466371217246239667e+02,-9.989151807879889100e-01,9.989151807879889100e-01,9.999999999999373834e-01
8.800000000000000000e+01,5.529203070318035316e+02,9.973776983936937235e-01,9.973776983936937235e-01,1.000000000000041300e+00
8.900000000000000000e+01,5.592034923389832102e+02,-9.992472369594121995e-01,9.992472369594121995e-01,9.999999999999503730e-01
9.000000000000000000e+01,5.654866776461627751e+02,9.970307917916756413e-01,9.970307917916756413e-01,1.000000000000043077e+00
9.100000000000000000e+01,5.717698629533423400e+02,-9.980848185804588324e-01,9.980848185804588324e-01,9.999999999999346079e-01
9.200000000000000000e+01,5.780530482605219049e+02,9.979553855043739041e-01,9.979553855043739041e-01,1.000000000000018652e+00
9.300000000000000000e+01,5.843362335677014698e+02,-9.968199528785727237e-01,9.968199528785727237e-01,9.999999999999102940e-01
9.400000000000000000e+01,5.906194188748811484e+02,9.988670494190268201e-01,9.988670494190268201e-01,9.999999999999994449e-01
9.500000000000000000e+01,5.969026041820607134e+02,-9.968953859435716325e-01,9.968953859435716325e-01,9.999999999999096278e-01
9.600000000000000000e+01,6.031857894892402783e+02,9.983486192796200420e-01,9.983486192796200420e-01,1.000000000000010880e+00
9.700000000000000000e+01,6.094689747964198432e+02,-9.979407611208886975e-01,9.979407611208886975e-01,9.999999999999348299e-01
9.800000000000000000e+01,6.157521601035994081e+02,9.969152737307477308e-01,9.969152737307477308e-01,1.000000000000039302e+00
9.900000000000000000e+01,6.220353454107790867e+02,-9.985347809407421060e-01,9.985347809407421060e-01,9.999999999999540368e-01
1.000000000000000000e+02,6.283185307179586516e+02,9.962875778930929682e-01,9.962875778930929682e-01,1.000000000000048628e+00
1.010000000000000000e+02,6.346017160251382165e+02,-9.978168234024581418e-01,9.978168234024581418e-01,9.999999999999434896e-01
1.020000000000000000e+02,6.408849013323177815e+02,9.971208885619173845e-01,9.971208885619173845e-01,1.000000000000027978e+00
1.030000000000000000e+02,6.471680866394973464e+02,-9.965350077439053544e-01,9.965350077439053544e-01,9.999999999999188427e-01
1.040000000000000000e+02,6.534512719466770250e+02,9.981722459943880299e-01,9.981722459943880299e-01,1.000000000000005107e+00
1.050000000000000000e+02,6.597344572538565899e+02,-9.961721690525170425e-01,9.961721690525170425e-01,9.999999999999115152e-01
1.060000000000000000e+02,6.660176425610361548e+02,9.980831497846541778e-01,9.980831497846541778e-01,1.000000000000009326e+00
1.070000000000000000e+02,6.723008278682157197e+02,-9.972067998987825810e-01,9.972067998987825810e-01,9.999999999999318323e-01
1.080000000000000000e+02,6.785840131753952846e+02,9.969328973490573231e-01,9.969328973490573231e-01,1.000000000000035527e+00
1.090000000000000000e+02,6.848671984825748495e+02,-9.982670546281804391e-01,9.982670546281804391e-01,9.999999999999550360e-01
1.100000000000000000e+02,6.911503837897545282e+02,9.960951070695247545e-01,9.960951070695247545e-01,1.000000000000051958e+00
1.110000000000000000e+02,6.974335690969340931e+02,-9.979390723890528836e-01,9.979390723890528836e-01,9.999999999999523714e-01
1.120000000000000000e+02,7.037167544041136580e+02,9.966315226364591551e-01,9.966315226364591551e-01,1.000000000000037970e+00
1.130000000000000000e+02,7.099999397112932229e+02,-9.966821418862429338e-01,9.966821418862429338e-01,9.999999999999267253e-01
1.140000000000000000e+02,7.162831250184727878e+02,9.979494202822064564e-01,9.979494202822064564e-01,1.000000000000009770e+00
1.150000000000000000e+02,7.225663103256524664e+02,-9.961719571778531179e-01,9.961719571778531179e-01,9.999999999999105160e-01
1.160000000000000000e+02,7.288494956328320313e+02,9.984276885702597637e-01,9.984276885702597637e-01,1.000000000000004663e+00
1.170000000000000000e+02,7.351326809400115962e+02,-9.970861550398482098e-01,9.970861550398482098e-01,9.999999999999251710e-01
1.180000000000000000e+02,7.414158662471911612e+02,9.974892538395142561e-01,9.974892538395142561e-01,1.000000000000028644e+00
1.190000000000000000e+02,7.476990515543707261e+02,-9.983307032135301240e-01,9.983307032135301240e-01,9.999999999999507061e-01
1.200000000000000000e+02,7.539822368615502910e+02,9.964811309265262373e-01,9.964811309265262373e-01,1.000000000000049960e+00
1.210000000000000000e+02,7.602654221687299696e+02,-9.985141951290489315e-01,9.985141951290489315e-01,9.999999999999545919e-01
1.220000000000000000e+02,7.665486074759095345e+02,9.968665937117924258e-01,9.968665937117924258e-01,1.000000000000041744e+00
1.230000000000000000e+02,7.728317927830890994e+02,-9.975492160890759852e-01,9.975492160890759852e-01,9.999999999999314992e-01
1.240000000000000000e+02,7.791149780902686643e+02,9.982094205889678884e-01,9.982094205889678884e-01,1.000000000000014655e+00
1.250000000000000000e+02,7.853981633974482293e+02,-9.967348007480465455e-01,9.967348007480465455e-01,9.999999999999105160e-01
1.260000000000000000e+02,7.916813487046279079e+02,9.989853422439646247e-01,9.989853422439646247e-01,1.000000000000001554e+00
1.270000000000000000e+02,7.979645340118074728e+02,-9.973321965608532569e-01,9.973321965608532569e-01,9.999999999999166223e-01
1.280000000000000000e+02,8.042477193189870377e+02,9.984428549747026427e-01,9.984428549747026427e-01,1.000000000000017542e+00
1.290000000000000000e+02,8.105309046261666026e+02,-9.987981469968713055e-01,9.987981469968713055e-01,9.999999999999412692e-01
1.300000000000000000e+02,8.168140899333461675e+02,9.974194194573717809e-01,9.974194194573717809e-01,1.000000000000043299e+00
1.310000000000000000e+02,8.230972752405258461e+02,-9.993896329902173248e-01,9.993896329902173248e-01,9.999999999999527045e-01
1.320000000000000000e+02,8.293804605477054110e+02,9.972967920728050828e-01,9.972967920728050828e-01,1.000000000000043965e+00
1.330000000000000000e+02,8.356636458548849760e+02,-9.984811433943852066e-01,9.984811433943852066e-01,9.999999999999341638e-01
1.340000000000000000e+02,8.419468311620645409e+02,9.985088241742208215e-01,9.985088241742208215e-01,1.000000000000016653e+00
1.350000000000000000e+02,8.482300164692441058e+02,-9.974955730841742474e-01,9.974955730841742474e-01,9.999999999999077405e-01
1.360000000000000000e+02,8.545132017764237844e+02,9.996828489553856167e-01,9.996828489553856167e-01,9.999999999999966693e-01
1.370000000000000000e+02,8.607963870836033493e+02,-9.977824050371011388e-01,9.977824050371011388e-01,9.999999999999064082e-01
1.380000000000000000e+02,8.670795723907829142e+02,9.993539017158297177e-01,9.993539017158297177e-01,1.000000000000007772e+00
1.390000000000000000e+02,8.733627576979624791e+02,-9.990197220962304669e-01,9.990197220962304669e-01,9.999999999999300559e-01
1.400000000000000000e+02,8.796459430051420441e+02,9.981033539845212132e-01,9.981033539845212132e-01,1.000000000000033973e+00
1.410000000000000000e+02,8.859291283123216090e+02,-9.998328317250900765e-01,9.998328317250900765e-01,9.999999999999470424e-01
1.420000000000000000e+02,8.922123136195012876e+02,9.976780239055713650e-01,9.976780239055713650e-01,1.000000000000041966e+00
1.430000000000000000e+02,8.984954989266808525e+02,-9.992866099007481351e-01,9.992866099007481351e-01,9.999999999999358291e-01
1.440000000000000000e+02,9.047786842338604174e+02,9.985898055508496407e-01,9.985898055508496407e-01,1.000000000000021316e+00
1.450000000000000000e+02,9.110618695410399823e+02,-9.980290293158055048e-01,9.980290293158055048e-01,9.999999999999099609e-01
1.460000000000000000e+02,9.173450548482195472e+02,9.996876925542338421e-01,9.996876925542338421e-01,9.999999999999968914e-01
1.470000000000000000e+02,9.236282401553992258e+02,-9.977061198307910495e-01,9.977061198307910495e-01,9.999999999999009681e-01
1.480000000000000000e+02,9.299114254625787908e+02,9.996916010194114577e-01,9.996916010194114577e-01,9.999999999999990008e-01
1.490000000000000000e+02,9.361946107697583557e+02,-9.988219994481210007e-01,9.988219994481210007e-01,9.999999999999200639e-01
1.500000000000000000e+02,9.424777960769379206e+02,9.985202370525145810e-01,9.985202370525145810e-01,1.000000000000025757e+00
1.510000000000000000e+02,9.487609813841174855e+02,-9.998141060427769844e-01,9.998141060427769844e-01,9.999999999999432676e-01
1.520000000000000000e+02,9.550441666912970504e+02,9.975179364814258376e-01,9.975179364814258376e-01,1.000000000000042411e+00
1.530000000000000000e+02,9.613273519984767290e+02,-9.993153533691713220e-01,9.993153533691713220e-01,9.999999999999402700e-01
1.540000000000000000e+02,9.676105373056562939e+02,9.979937654399582136e-01,9.979937654399582136e-01,1.000000000000026645e+00
1.550000000000000000e+02,9.738937226128358589e+02,-9.979868160887044315e-01,9.979868160887044315e-01,9.999999999999140687e-01
1.560000000000000000e+02,9.801769079200154238e+02,9.992377991983136809e-01,9.992377991983136809e-01,1.000000000000000000e+00
1.570000000000000000e+02,9.864600932271949887e+02,-9.973489637068612135e-01,9.973489637068612135e-01,9.999999999998991917e-01
1.580000000000000000e+02,9.927432785343746673e+02,9.994492067306851579e-01,9.994492067306851579e-01,9.999999999999953371e-01
1.590000000000000000e+02,9.990264638415542322e+02,-9.979915412174187317e-01,9.979915412174187317e-01,9.999999999999146238e-01
1.600000000000000000e+02,1.005309649148733797e+03,9.982377314391364109e-01,9.982377314391364109e-01,1.000000000000019762e+00
1.610000000000000000e+02,1.011592834455913362e+03,-9.990161312561577356e-01,9.990161312561577356e-01,9.999999999999404920e-01
1.620000000000000000e+02,1.017876019763092927e+03,9.970661470521111625e-01,9.970661470521111625e-01,1.000000000000041522e+00
1.630000000000000000e+02,1.024159205070272492e+03,-9.989999158164040161e-01,9.989999158164040161e-01,9.999999999999457101e-01
1.640000000000000000e+02,1.030442390377452057e+03,9.971656939442404832e-01,9.971656939442404832e-01,1.000000000000035305e+00
1.650000000000000000e+02,1.036725575684631622e+03,-9.976959428951346354e-01,9.976959428951346354e-01,9.999999999999248379e-01
1.660000000000000000e+02,1.043008760991811414e+03,9.981997816957776104e-01,9.981997816957776104e-01,1.000000000000009326e+00
1.670000000000000000e+02,1.049291946298990979e+03,-9.966096968757383046e-01,9.966096968757383046e-01,9.999999999999048539e-01
1.680000000000000000e+02,1.055575131606170544e+03,9.987802556647850105e-01,9.987802556647850105e-01,9.999999999999972244e-01
1.690000000000000000e+02,1.061858316913350109e+03,-9.970375542391162194e-01,9.970375542391162194e-01,9.999999999999121814e-01
1.700000000000000000e+02,1.068141502220529674e+03,9.979703544598410581e-01,9.979703544598410581e-01,1.000000000000015099e+00
1.710000000000000000e+02,1.074424687527709239e+03,-9.981886562231292448e-01,9.981886562231292448e-01,9.999999999999390488e-01
1.720000000000000000e+02,1.080707872834888803e+03,9.966031697124284605e-01,9.966031697124284605e-01,1.000000000000041522e+00
1.730000000000000000e+02,1.086991058142068368e+03,-9.984448394487774880e-01,9.984448394487774880e-01,9.999999999999518163e-01
1.740000000000000000e+02,1.093274243449247933e+03,9.963113828872585120e-01,9.963113828872585120e-01,1.000000000000043299e+00
1.750000000000000000e+02,1.099557428756427498e+03,-9.974044794792814583e-01,9.974044794792814583e-01,9.999999999999347189e-01
1.760000000000000000e+02,1.105840614063607063e+03,9.973942901912118408e-01,9.973942901912118408e-01,1.000000000000017764e+00
1.770000000000000000e+02,1.112123799370786855e+03,-9.962905402679377298e-01,9.962905402679377298e-01,9.999999999999109601e-01
1.780000000000000000e+02,1.118406984677966420e+03,9.983168221721152591e-01,9.983168221721152591e-01,9.999999999999995559e-01
1.790000000000000000e+02,1.124690169985145985e+03,-9.963512896829261889e-01,9.963512896829261889e-01,9.999999999999114042e-01
1.800000000000000000e+02,1.130973355292325550e+03,9.978399756800455656e-01,9.978399756800455656e-01,1.000000000000011990e+00
1.810000000000000000e+02,1.137256540599505115e+03,-9.975034394329314047e-01,9.975034394329314047e-01,9.999999999999359401e-01
1.820000000000000000e+02,1.143539725906684680e+03,9.965945505837219276e-01,9.965945505837219276e-01,1.000000000000038858e+00
1.830000000000000000e+02,1.149822911213864245e+03,-9.983103830357079600e-01,9.983103830357079600e-01,9.999999999999542588e-01
1.840000000000000000e+02,1.156106096521043810e+03,9.961212180586441756e-01,9.961212180586441756e-01,1.000000000000047740e+00
1.850000000000000000e+02,1.162389281828223375e+03,-9.977020612028710822e-01,9.977020612028710822e-01,9.999999999999438227e-01
1.860000000000000000e+02,1.168672467135402940e+03,9.969937359357482487e-01,9.969937359357482487e-01,1.000000000000027756e+00
1.870000000000000000e+02,1.174955652442582732e+03,-9.964634481338277006e-01,9.964634481338277006e-01,9.999999999999185096e-01
1.880000000000000000e+02,1.181238837749762297e+03,9.981907333409906213e-01,9.981907333409906213e-01,1.000000000000003331e+00
1.890000000000000000e+02,1.187522023056941862e+03,-9.962841719852311151e-01,9.962841719852311151e-01,9.999999999999089617e-01
1.900000000000000000e+02,1.193805208364121427e+03,9.983202200667357085e-01,9.983202200667357085e-01,1.000000000000005551e+00
1.910000000000000000e+02,1.200088393671300992e+03,-9.974930841166470552e-01,9.974930841166470552e-01,9.999999999999288347e-01
1.920000000000000000e+02,1.206371578978480557e+03,9.972649526292836075e-01,9.972649526292836075e-01,1.000000000000032419e+00
1.930000000000000000e+02,1.212654764285660121e+03,-9.986078070644461846e-01,9.986078070644461846e-01,9.999999999999517053e-01
1.940000000000000000e+02,1.218937949592839686e+03,9.964670267676851712e-01,9.964670267676851712e-01,1.000000000000048184e+00
1.950000000000000000e+02,1.225221134900019251e+03,-9.983623757494438644e-01,9.983623757494438644e-01,9.999999999999473754e-01
1.960000000000000000e+02,1.231504320207198816e+03,9.971833536889328498e-01,9.971833536889328498e-01,1.000000000000031752e+00
1.970000000000000000e+02,1.237787505514378381e+03,-9.972891430773849208e-01,9.972891430773849208e-01,9.999999999999202860e-01
1.980000000000000000e+02,1.244070690821558173e+03,9.986155322260584777e-01,9.986155322260584777e-01,1.000000000000004219e+00
1.990000000000000000e+02,1.250353876128737738e+03,-9.968350833733201632e-01,9.968350833733201632e-01,9.999999999999050759e-01
2.000000000000000000e+02,1.256637061435917303e+03,9.990654908810819856e-01,9.990654908810819856e-01,1.000000000000000222e+00
2.010000000000000000e+02,1.262920246743096868e+03,-9.977434086000136482e-01,9.977434086000136482e-01,9.999999999999189537e-01
2.030000000000000000e+02,1.275486617357455998e+03,-9.990983222476027548e-01,9.990983222476027548e-01,9.999999999999430456e-01
2.050000000000000000e+02,1.288052987971815128e+03,-9.993624015245213821e-01,9.993624015245213821e-01,9.999999999999468203e-01
2.070000000000000000e+02,1.300619358586174258e+03,-9.982589962501662306e-01,9.982589962501662306e-01,9.999999999999239497e-01
2.100000000000000000e+02,1.319468914507713180e+03,9.997565093226816746e-01,9.997565093226816746e-01,9.999999999999928946e-01
2.120000000000000000e+02,1.332035285122072310e+03,9.991495191430065370e-01,9.991495191430065370e-01,1.000000000000010658e+00
2.140000000000000000e+02,1.344601655736431439e+03,9.978942027268025150e-01,9.978942027268025150e-01,1.000000000000035971e+00
2.170000000000000000e+02,1.363451211657970134e+03,-9.989279657160040626e-01,9.989279657160040626e-01,9.999999999999251710e-01
2.190000000000000000e+02,1.376017582272329491e+03,-9.978505023111465810e-01,9.978505023111465810e-01,9.999999999999010791e-01
2.220000000000000000e+02,1.394867138193868186e+03,9.993867757135032059e-01,9.993867757135032059e-01,1.000000000000001554e+00
2.240000000000000000e+02,1.407433508808227316e+03,9.981458758634220718e-01,9.981458758634220718e-01,1.000000000000028866e+00
2.270000000000000000e+02,1.426283064729766011e+03,-9.990126431057260170e-01,9.990126431057260170e-01,9.999999999999319433e-01
2.290000000000000000e+02,1.438849435344125141e+03,-9.976187153562534604e-01,9.976187153562534604e-01,9.999999999999059641e-01
2.320000000000000000e+02,1.457698991265664063e+03,9.992362254441327085e-01,9.992362254441327085e-01,9.999999999999965583e-01
2.340000000000000000e+02,1.470265361880023192e+03,9.978279429391291311e-01,9.978279429391291311e-01,1.000000000000023981e+00
2.370000000000000000e+02,1.489114917801561887e+03,-9.986431728426886645e-01,9.986431728426886645e-01,9.999999999999387157e-01
2.400000000000000000e+02,1.507964473723100582e+03,9.984362919090697952e-01,9.984362919090697952e-01,1.000000000000000222e+00
2.420000000000000000e+02,1.520530844337459939e+03,9.986130575830917122e-01,9.986130575830917122e-01,9.999999999999967804e-01
2.450000000000000000e+02,1.539380400258998634e+03,-9.983517635926175693e-01,9.983517635926175693e-01,9.999999999999418243e-01
2.480000000000000000e+02,1.558229956180537329e+03,9.964582549777962761e-01,9.964582549777962761e-01,1.000000000000035971e+00
2.510000000000000000e+02,1.577079512102076251e+03,-9.961240263486843549e-01,9.961240263486843549e-01,9.999999999999047429e-01
2.530000000000000000e+02,1.589645882716435381e+03,-9.966151163207476182e-01,9.966151163207476182e-01,9.999999999999129585e-01
2.560000000000000000e+02,1.608495438637974075e+03,9.963290855139776969e-01,9.963290855139776969e-01,1.000000000000041078e+00
2.590000000000000000e+02,1.627344994559512770e+03,-9.974042903182299691e-01,9.974042903182299691e-01,9.999999999999337197e-01
2.620000000000000000e+02,1.646194550481051692e+03,9.983921470740967363e-01,9.983921470740967363e-01,9.999999999999984457e-01
2.650000000000000000e+02,1.665044106402590387e+03,-9.978759043776250781e-01,9.978759043776250781e-01,9.999999999999323874e-01
2.680000000000000000e+02,1.683893662324129082e+03,9.965797823391604471e-01,9.965797823391604471e-01,1.000000000000044409e+00
