t_over_T,t,sigma_x_magnus4,sigma_x_rk4,norm_magnus4,norm_rk4
3.051249999999999929e+01,1.917156916853171253e+02,-2.344881296157836914e-01,-2.344954758882522583e-01,1.000028133392333984e+00,9.987856745719909668e-01
3.052499999999999858e+01,1.917942315016568671e+02,-7.397442311048507690e-02,-8.042608201503753662e-02,1.000028252601623535e+00,9.987841248512268066e-01
3.053749999999999787e+01,1.918727713179966088e+02,7.970464974641799927e-02,7.964482158422470093e-02,1.000028252601623535e+00,9.987826347351074219e-01
3.054999999999999716e+01,1.919513111343363505e+02,-1.518875956535339355e-01,-1.454830616712570190e-01,1.000028252601623535e+00,9.987812042236328125e-01
3.056249999999999645e+01,1.920298509506760922e+02,-3.834669589996337891e-01,-3.831626772880554199e-01,1.000028252601623535e+00,9.987797141075134277e-01
3.057500000000000284e+01,1.921083907670158624e+02,-2.415540665388107300e-01,-2.478536069393157959e-01,1.000028371810913086e+00,9.987782239913940430e-01
3.058750000000000213e+01,1.921869305833556041e+02,-7.835519313812255859e-02,-7.919823378324508667e-02,1.000028491020202637e+00,9.987768530845642090e-01
3.060000000000000142e+01,1.922654703996953458e+02,-2.682195007801055908e-01,-2.621511816978454590e-01,1.000028371810913086e+00,9.987757205963134766e-01
3.061250000000000071e+01,1.923440102160350875e+02,-5.163468122482299805e-01,-5.146024227142333984e-01,1.000028491020202637e+00,9.987745285034179688e-01
3.062500000000000000e+01,1.924225500323748292e+02,-4.421917200088500977e-01,-4.477516710758209229e-01,1.000028610229492188e+00,9.987733960151672363e-01
3.063749999999999929e+01,1.925010898487145710e+02,-2.547260224819183350e-01,-2.577186226844787598e-01,1.000028610229492188e+00,9.987724423408508301e-01
3.064999999999999858e+01,1.925796296650543127e+02,-3.360143303871154785e-01,-3.315102458000183105e-01,1.000028491020202637e+00,9.987715482711791992e-01
3.066249999999999787e+01,1.926581694813940544e+02,-5.907654762268066406e-01,-5.863953828811645508e-01,1.000028610229492188e+00,9.987708330154418945e-01
3.067499999999999716e+01,1.927367092977337961e+02,-6.587049961090087891e-01,-6.612936854362487793e-01,1.000028610229492188e+00,9.987701177597045898e-01
3.068750000000000355e+01,1.928152491140735663e+02,-5.037063956260681152e-01,-5.090060234069824219e-01,1.000028610229492188e+00,9.987695217132568359e-01
3.070000000000000284e+01,1.928937889304133080e+02,-4.167799055576324463e-01,-4.170454144477844238e-01,1.000028610229492188e+00,9.987690448760986328e-01
3.071250000000000213e+01,1.929723287467530497e+02,-5.527982115745544434e-01,-5.479965806007385254e-01,1.000028610229492188e+00,9.987686872482299805e-01
3.072500000000000142e+01,1.930508685630927914e+02,-7.489428520202636719e-01,-7.456246018409729004e-01,1.000028729438781738e+00,9.987682700157165527e-01
3.073750000000000071e+01,1.931294083794325331e+02,-7.937196493148803711e-01,-7.957953810691833496e-01,1.000028729438781738e+00,9.987680912017822266e-01
3.075000000000000000e+01,1.932079481957722749e+02,-6.893651485443115234e-01,-6.940145492553710938e-01,1.000028729438781738e+00,9.987678527832031250e-01
3.076249999999999929e+01,1.932864880121120166e+02,-5.993404984474182129e-01,-6.014090180397033691e-01,1.000028729438781738e+00,9.987676739692687988e-01
3.077499999999999858e+01,1.933650278284517583e+02,-6.367006897926330566e-01,-6.344364881515502930e-01,1.000028848648071289e+00,9.987675547599792480e-01
3.078749999999999787e+01,1.934435676447915000e+02,-7.676320075988769531e-01,-7.635530829429626465e-01,1.000028848648071289e+00,9.987674355506896973e-01
3.080000000000000071e+01,1.935221074611312702e+02,-8.846435546875000000e-01,-8.822987079620361328e-01,1.000028848648071289e+00,9.987674355506896973e-01
3.081250000000000000e+01,1.936006472774710119e+02,-9.190506935119628906e-01,-9.199297428131103516e-01,1.000028848648071289e+00,9.987673163414001465e-01
3.082500000000000284e+01,1.936791870938107536e+02,-8.806741833686828613e-01,-8.837252259254455566e-01,1.000028848648071289e+00,9.987672567367553711e-01
3.083750000000000213e+01,1.937577269101504953e+02,-8.230298757553100586e-01,-8.261362314224243164e-01,1.000028848648071289e+00,9.987672567367553711e-01
3.085000000000000142e+01,1.938362667264902370e+02,-7.923404574394226074e-01,-7.939257025718688965e-01,1.000028848648071289e+00,9.987672567367553711e-01
3.086250000000000071e+01,1.939148065428299788e+02,-8.031846284866333008e-01,-8.028569817543029785e-01,1.000028848648071289e+00,9.987671971321105957e-01
3.087500000000000000e+01,1.939933463591697205e+02,-8.439709544181823730e-01,-8.422546982765197754e-01,1.000028848648071289e+00,9.987671971321105957e-01
3.088749999999999929e+01,1.940718861755094622e+02,-8.942748904228210449e-01,-8.920096158981323242e-01,1.000028848648071289e+00,9.987671971321105957e-01
3.089999999999999858e+01,1.941504259918492039e+02,-9.382318258285522461e-01,-9.361045360565185547e-01,1.000028967857360840e+00,9.987671375274658203e-01
3.091249999999999787e+01,1.942289658081889456e+02,-9.689930677413940430e-01,-9.673603773117065430e-01,1.000028848648071289e+00,9.987671971321105957e-01
3.092500000000000071e+01,1.943075056245287158e+02,-9.868642687797546387e-01,-9.857937097549438477e-01,1.000028848648071289e+00,9.987671375274658203e-01
3.093750000000000000e+01,1.943860454408684575e+02,-9.954890608787536621e-01,-9.948827624320983887e-01,1.000028848648071289e+00,9.987671971321105957e-01
3.094999999999999929e+01,1.944645852572081992e+02,-9.988453388214111328e-01,-9.985526204109191895e-01,1.000028848648071289e+00,9.987671375274658203e-01
3.096249999999999858e+01,1.945431250735479409e+02,-9.998188018798828125e-01,-9.997045993804931641e-01,1.000028848648071289e+00,9.987671971321105957e-01
3.097500000000000142e+01,1.946216648898876826e+02,-9.999899864196777344e-01,-9.999589920043945312e-01,1.000028848648071289e+00,9.987671375274658203e-01
3.098750000000000071e+01,1.947002047062274244e+02,-9.999958276748657227e-01,-9.999930262565612793e-01,1.000028967857360840e+00,9.987670779228210449e-01
3.100000000000000000e+01,1.947787445225671661e+02,-9.999941587448120117e-01,-9.999951124191284180e-01,1.000028848648071289e+00,9.987670779228210449e-01
3.101249999999999929e+01,1.948572843389069078e+02,-9.999918937683105469e-01,-9.999965429306030273e-01,1.000028848648071289e+00,9.987671375274658203e-01
3.102499999999999858e+01,1.949358241552466495e+02,-9.999567270278930664e-01,-9.999893903732299805e-01,1.000028967857360840e+00,9.987671375274658203e-01
3.103750000000000142e+01,1.950143639715864197e+02,-9.996988773345947266e-01,-9.998147487640380859e-01,1.000028848648071289e+00,9.987670779228210449e-01
3.105000000000000071e+01,1.950929037879261614e+02,-9.985395073890686035e-01,-9.988338351249694824e-01,1.000028848648071289e+00,9.987670779228210449e-01
3.106250000000000000e+01,1.951714436042659031e+02,-9.948570132255554199e-01,-9.954648017883300781e-01,1.000028848648071289e+00,9.987670779228210449e-01
3.107499999999999929e+01,1.952499834206056448e+02,-9.857504963874816895e-01,-9.868217110633850098e-01,1.000028848648071289e+00,9.987670779228210449e-01
3.108749999999999858e+01,1.953285232369453865e+02,-9.672972559928894043e-01,-9.689298868179321289e-01,1.000028848648071289e+00,9.987670183181762695e-01
3.109999999999999787e+01,1.954070630532851283e+02,-9.360249042510986328e-01,-9.381524324417114258e-01,1.000028848648071289e+00,9.987670779228210449e-01
3.111250000000000071e+01,1.954856028696248700e+02,-8.919292092323303223e-01,-8.941946029663085938e-01,1.000028848648071289e+00,9.987670183181762695e-01
3.112500000000000000e+01,1.955641426859646117e+02,-8.422010540962219238e-01,-8.439190387725830078e-01,1.000028848648071289e+00,9.987670183181762695e-01
3.113749999999999929e+01,1.956426825023043534e+02,-8.028606176376342773e-01,-8.031934499740600586e-01,1.000028848648071289e+00,9.987669587135314941e-01
3.115000000000000213e+01,1.957212223186441236e+02,-7.940014004707336426e-01,-7.924256324768066406e-01,1.000028848648071289e+00,9.987670183181762695e-01
3.116250000000000142e+01,1.957997621349838653e+02,-8.262621760368347168e-01,-8.231685161590576172e-01,1.000028848648071289e+00,9.987669587135314941e-01
3.117500000000000071e+01,1.958783019513236070e+02,-8.838377594947814941e-01,-8.807974457740783691e-01,1.000028848648071289e+00,9.987668991088867188e-01
3.118750000000000000e+01,1.959568417676633487e+02,-9.199504852294921875e-01,-9.190755486488342285e-01,1.000028967857360840e+00,9.987668395042419434e-01
3.119999999999999929e+01,1.960353815840030904e+02,-8.821989297866821289e-01,-8.845391273498535156e-01,1.000028967857360840e+00,9.987668395042419434e-01
3.121249999999999858e+01,1.961139214003428322e+02,-7.634034752845764160e-01,-7.674733400344848633e-01,1.000029087066650391e+00,9.987667202949523926e-01
3.122499999999999787e+01,1.961924612166825739e+02,-6.343717575073242188e-01,-6.366345286369323730e-01,1.000029087066650391e+00,9.987666606903076172e-01
3.123749999999999716e+01,1.962710010330223156e+02,-6.015090942382812500e-01,-5.994514226913452148e-01,1.000029087066650391e+00,9.987665414810180664e-01
3.124999999999999645e+01,1.963495408493620573e+02,-6.941928863525390625e-01,-6.895588636398315430e-01,1.000029087066650391e+00,9.987664222717285156e-01
3.126250000000000284e+01,1.964280806657018275e+02,-7.958557009696960449e-01,-7.937860488891601562e-01,1.000029087066650391e+00,9.987661838531494141e-01
3.127500000000000213e+01,1.965066204820415692e+02,-7.454825043678283691e-01,-7.487989068031311035e-01,1.000029206275939941e+00,9.987659454345703125e-01
3.128750000000000142e+01,1.965851602983813109e+02,-5.478217601776123047e-01,-5.526287555694580078e-01,1.000029206275939941e+00,9.987655878067016602e-01
3.130000000000000071e+01,1.966637001147210526e+02,-4.170810878276824951e-01,-4.168263375759124756e-01,1.000029206275939941e+00,9.987651705741882324e-01
3.131250000000000000e+01,1.967422399310607943e+02,-5.092207193374633789e-01,-5.039200186729431152e-01,1.000029206275939941e+00,9.987646341323852539e-01
3.132499999999999929e+01,1.968207797474005361e+02,-6.613746285438537598e-01,-6.587795615196228027e-01,1.000029206275939941e+00,9.987639784812927246e-01
3.133749999999999858e+01,1.968993195637402778e+02,-5.862043499946594238e-01,-5.905894041061401367e-01,1.000029325485229492e+00,9.987633228302001953e-01
3.134999999999999787e+01,1.969778593800800195e+02,-3.313435912132263184e-01,-3.358767926692962646e-01,1.000029325485229492e+00,9.987625479698181152e-01
3.136249999999999716e+01,1.970563991964197612e+02,-2.578680217266082764e-01,-2.548653781414031982e-01,1.000029325485229492e+00,9.987617731094360352e-01
3.137500000000000355e+01,1.971349390127595314e+02,-4.479803144931793213e-01,-4.423740804195404053e-01,1.000029325485229492e+00,9.987608194351196289e-01
3.138750000000000284e+01,1.972134788290992731e+02,-5.144990682601928711e-01,-5.162546038627624512e-01,1.000029325485229492e+00,9.987598061561584473e-01
