sample_index,t_over_T,phase_fraction,a_plus_abs,a_minus_abs
9.100000000000000000e+01,2.275000000000000000e+01,7.500000000000000000e-01,3.937197029590606689e-01,9.192516803741455078e-01
9.200000000000000000e+01,2.300000000000000000e+01,0.000000000000000000e+00,1.269854954443871975e-03,1.000018477439880371e+00
9.300000000000000000e+01,2.325000000000000000e+01,2.500000000000000000e-01,3.914266824722290039e-01,9.202305078506469727e-01
9.400000000000000000e+01,2.350000000000000000e+01,5.000000000000000000e-01,7.080355882644653320e-01,7.062046527862548828e-01
9.500000000000000000e+01,2.375000000000000000e+01,7.500000000000000000e-01,9.192319512367248535e-01,3.937679827213287354e-01
9.600000000000000000e+01,2.400000000000000000e+01,0.000000000000000000e+00,1.000019431114196777e+00,1.322860713116824627e-03
9.700000000000000000e+01,2.425000000000000000e+01,2.500000000000000000e-01,9.202505946159362793e-01,3.913818895816802979e-01
9.800000000000000000e+01,2.450000000000000000e+01,5.000000000000000000e-01,7.061690688133239746e-01,7.080728411674499512e-01
9.900000000000000000e+01,2.475000000000000000e+01,7.500000000000000000e-01,3.938114643096923828e-01,9.192147254943847656e-01
1.000000000000000000e+02,2.500000000000000000e+01,0.000000000000000000e+00,1.371771097183227539e-03,1.000020742416381836e+00
1.010000000000000000e+02,2.525000000000000000e+01,2.500000000000000000e-01,3.913362920284271240e-01,9.202711582183837891e-01
1.020000000000000000e+02,2.550000000000000000e+01,5.000000000000000000e-01,7.081113457679748535e-01,7.061316967010498047e-01
1.030000000000000000e+02,2.575000000000000000e+01,7.500000000000000000e-01,9.191931486129760742e-01,3.938640058040618896e-01
1.040000000000000000e+02,2.600000000000000000e+01,0.000000000000000000e+00,1.000021696090698242e+00,1.431049196980893612e-03
1.050000000000000000e+02,2.625000000000000000e+01,2.500000000000000000e-01,9.202949404716491699e-01,3.912835121154785156e-01
1.060000000000000000e+02,2.650000000000000000e+01,5.000000000000000000e-01,7.060905694961547852e-01,7.081540226936340332e-01
1.070000000000000000e+02,2.675000000000000000e+01,7.500000000000000000e-01,3.939177095890045166e-01,9.191712141036987305e-01
1.080000000000000000e+02,2.700000000000000000e+01,0.000000000000000000e+00,1.488467329181730747e-03,1.000022411346435547e+00
1.090000000000000000e+02,2.725000000000000000e+01,2.500000000000000000e-01,3.912304639816284180e-01,9.203184843063354492e-01
1.100000000000000000e+02,2.750000000000000000e+01,5.000000000000000000e-01,7.081950306892395020e-01,7.060512304306030273e-01
