sample_index,t_over_T,phase_fraction,a_plus_abs,a_minus_abs
8.700000000000000000e+01,2.175000000000000000e+01,7.500000000000000000e-01,9.573888182640075684e-01,2.888678610324859619e-01
8.800000000000000000e+01,2.200000000000000000e+01,0.000000000000000000e+00,9.908238053321838379e-01,1.353017240762710571e-01
8.900000000000000000e+01,2.225000000000000000e+01,2.500000000000000000e-01,8.831920027732849121e-01,4.690526127815246582e-01
9.000000000000000000e+01,2.250000000000000000e+01,5.000000000000000000e-01,7.531344294548034668e-01,6.578966975212097168e-01
9.100000000000000000e+01,2.275000000000000000e+01,7.500000000000000000e-01,3.727853000164031982e-01,9.279391765594482422e-01
9.200000000000000000e+01,2.300000000000000000e+01,0.000000000000000000e+00,9.193683508783578873e-04,1.000019669532775879e+00
9.300000000000000000e+01,2.325000000000000000e+01,2.500000000000000000e-01,3.715078234672546387e-01,9.284515380859375000e-01
9.400000000000000000e+01,2.350000000000000000e+01,5.000000000000000000e-01,7.543447613716125488e-01,6.565097570419311523e-01
9.500000000000000000e+01,2.375000000000000000e+01,7.500000000000000000e-01,8.824867010116577148e-01,4.703816175460815430e-01
9.600000000000000000e+01,2.400000000000000000e+01,0.000000000000000000e+00,9.905753135681152344e-01,1.371211111545562744e-01
9.700000000000000000e+01,2.425000000000000000e+01,2.500000000000000000e-01,9.576655030250549316e-01,2.879555225372314453e-01
9.800000000000000000e+01,2.450000000000000000e+01,5.000000000000000000e-01,5.476458072662353516e-01,8.367358446121215820e-01
9.900000000000000000e+01,2.475000000000000000e+01,7.500000000000000000e-01,5.694323778152465820e-01,8.220646381378173828e-01
1.000000000000000000e+02,2.500000000000000000e+01,0.000000000000000000e+00,2.707627415657043457e-01,9.626689553260803223e-01
1.010000000000000000e+02,2.525000000000000000e+01,2.500000000000000000e-01,2.423761337995529175e-01,9.702051877975463867e-01
1.020000000000000000e+02,2.550000000000000000e+01,5.000000000000000000e-01,9.035321474075317383e-01,4.285734891891479492e-01
1.030000000000000000e+02,2.575000000000000000e+01,7.500000000000000000e-01,7.481776475906372070e-01,6.635339260101318359e-01
1.040000000000000000e+02,2.600000000000000000e+01,0.000000000000000000e+00,9.168171882629394531e-01,3.993664085865020752e-01
1.050000000000000000e+02,2.625000000000000000e+01,2.500000000000000000e-01,9.657664895057678223e-01,2.595049440860748291e-01
1.060000000000000000e+02,2.650000000000000000e+01,5.000000000000000000e-01,3.015098571777343750e-01,9.534883499145507812e-01
1.070000000000000000e+02,2.675000000000000000e+01,7.500000000000000000e-01,7.488365769386291504e-01,6.627918481826782227e-01
1.080000000000000000e+02,2.700000000000000000e+01,0.000000000000000000e+00,5.205206871032714844e-01,8.538780212402343750e-01
1.090000000000000000e+02,2.725000000000000000e+01,2.500000000000000000e-01,3.286763429641723633e-01,9.444687962532043457e-01
1.100000000000000000e+02,2.750000000000000000e+01,5.000000000000000000e-01,9.856706261634826660e-01,1.688305139541625977e-01
1.110000000000000000e+02,2.775000000000000000e+01,7.500000000000000000e-01,5.686393380165100098e-01,8.226178884506225586e-01
1.120000000000000000e+02,2.800000000000000000e+01,0.000000000000000000e+00,7.750252485275268555e-01,6.319709420204162598e-01
1.130000000000000000e+02,2.825000000000000000e+01,2.500000000000000000e-01,9.067682623863220215e-01,4.216908514499664307e-01
1.140000000000000000e+02,2.850000000000000000e+01,5.000000000000000000e-01,3.299786150455474854e-02,9.994820952415466309e-01
1.150000000000000000e+02,2.875000000000000000e+01,7.500000000000000000e-01,8.829306960105895996e-01,4.695618450641632080e-01
1.160000000000000000e+02,2.900000000000000000e+01,0.000000000000000000e+00,7.316484451293945312e-01,6.817224621772766113e-01
1.170000000000000000e+02,2.925000000000000000e+01,2.500000000000000000e-01,5.210675597190856934e-01,8.535478115081787109e-01
1.180000000000000000e+02,2.950000000000000000e+01,5.000000000000000000e-01,9.946637749671936035e-01,1.034426763653755188e-01
1.190000000000000000e+02,2.975000000000000000e+01,7.500000000000000000e-01,3.720141649246215820e-01,9.282580614089965820e-01
1.200000000000000000e+02,3.000000000000000000e+01,0.000000000000000000e+00,5.757126808166503906e-01,8.176872134208679199e-01
1.210000000000000000e+02,3.025000000000000000e+01,2.500000000000000000e-01,7.860553264617919922e-01,6.182032823562622070e-01
1.220000000000000000e+02,3.050000000000000000e+01,5.000000000000000000e-01,2.379580438137054443e-01,9.713056683540344238e-01
1.230000000000000000e+02,3.075000000000000000e+01,7.500000000000000000e-01,9.575690031051635742e-01,2.883074283599853516e-01
1.240000000000000000e+02,3.100000000000000000e+01,0.000000000000000000e+00,8.884820938110351562e-01,4.589769244194030762e-01
1.250000000000000000e+02,3.125000000000000000e+01,2.500000000000000000e-01,7.082114219665527344e-01,7.060436010360717773e-01
1.260000000000000000e+02,3.150000000000000000e+01,5.000000000000000000e-01,9.298443198204040527e-01,3.680371642112731934e-01
1.270000000000000000e+02,3.175000000000000000e+01,7.500000000000000000e-01,2.424834072589874268e-01,9.701880216598510742e-01
1.280000000000000000e+02,3.200000000000000000e+01,0.000000000000000000e+00,3.336809873580932617e-01,9.427193999290466309e-01
1.290000000000000000e+02,3.225000000000000000e+01,2.500000000000000000e-01,6.157940030097961426e-01,7.879474163055419922e-01
