t_over_T,t,sigma_x_magnus4,sigma_x_rk4,norm_magnus4,norm_rk4
2.198749999999999716e+01,1.381515369416111412e+02,9.633814692497253418e-01,9.624164700508117676e-01,1.000019192695617676e+00,9.990164637565612793e-01
2.199999999999999645e+01,1.382300767579508829e+02,9.633883237838745117e-01,9.624236226081848145e-01,1.000019192695617676e+00,9.990165829658508301e-01
2.201250000000000284e+01,1.383086165742906530e+02,9.633945226669311523e-01,9.624301791191101074e-01,1.000019192695617676e+00,9.990165829658508301e-01
2.202500000000000213e+01,1.383871563906303948e+02,9.635196328163146973e-01,9.625579714775085449e-01,1.000019192695617676e+00,9.990165829658508301e-01
2.203750000000000142e+01,1.384656962069701365e+02,9.642162322998046875e-01,9.632683992385864258e-01,1.000019192695617676e+00,9.990165829658508301e-01
2.205000000000000071e+01,1.385442360233098782e+02,9.663540124893188477e-01,9.654519557952880859e-01,1.000019073486328125e+00,9.990166425704956055e-01
2.206250000000000000e+01,1.386227758396496199e+02,9.709092378616333008e-01,9.701188802719116211e-01,1.000019073486328125e+00,9.990166425704956055e-01
2.207499999999999929e+01,1.387013156559893616e+02,9.781233668327331543e-01,9.775528907775878906e-01,1.000019073486328125e+00,9.990165829658508301e-01
2.208749999999999858e+01,1.387798554723291033e+02,9.861547946929931641e-01,9.859397411346435547e-01,1.000019073486328125e+00,9.990166425704956055e-01
2.209999999999999787e+01,1.388583952886688451e+02,9.897139668464660645e-01,9.899643063545227051e-01,1.000019073486328125e+00,9.990165829658508301e-01
2.211249999999999716e+01,1.389369351050085868e+02,9.799466729164123535e-01,9.806516766548156738e-01,1.000019073486328125e+00,9.990166425704956055e-01
2.212500000000000355e+01,1.390154749213483569e+02,9.473731517791748047e-01,9.482951164245605469e-01,1.000019192695617676e+00,9.990165829658508301e-01
2.213750000000000284e+01,1.390940147376880986e+02,8.888587355613708496e-01,8.895018696784973145e-01,1.000019192695617676e+00,9.990165233612060547e-01
2.215000000000000213e+01,1.391725545540278404e+02,8.162431716918945312e-01,8.160064220428466797e-01,1.000019192695617676e+00,9.990165233612060547e-01
2.216250000000000142e+01,1.392510943703675821e+02,7.590757608413696289e-01,7.576340436935424805e-01,1.000019192695617676e+00,9.990164637565612793e-01
2.217500000000000071e+01,1.393296341867073238e+02,7.517950534820556641e-01,7.495310306549072266e-01,1.000019192695617676e+00,9.990164041519165039e-01
2.218750000000000000e+01,1.394081740030470655e+02,8.042499423027038574e-01,8.023231625556945801e-01,1.000019192695617676e+00,9.990164041519165039e-01
2.219999999999999929e+01,1.394867138193868072e+02,8.753664493560791016e-01,8.750416040420532227e-01,1.000019311904907227e+00,9.990162849426269531e-01
2.221249999999999858e+01,1.395652536357265490e+02,8.860782980918884277e-01,8.875371217727661133e-01,1.000019311904907227e+00,9.990162849426269531e-01
2.222499999999999787e+01,1.396437934520662907e+02,7.873367667198181152e-01,7.890489697456359863e-01,1.000019192695617676e+00,9.990160465240478516e-01
2.223750000000000071e+01,1.397223332684060608e+02,6.332200765609741211e-01,6.330312490463256836e-01,1.000019311904907227e+00,9.990158081054687500e-01
2.225000000000000000e+01,1.398008730847458025e+02,5.599961876869201660e-01,5.574892163276672363e-01,1.000019192695617676e+00,9.990156292915344238e-01
2.226249999999999929e+01,1.398794129010855443e+02,6.408722996711730957e-01,6.384059190750122070e-01,1.000019311904907227e+00,9.990152716636657715e-01
2.227500000000000213e+01,1.399579527174252860e+02,7.618693113327026367e-01,7.621828913688659668e-01,1.000019311904907227e+00,9.990150332450866699e-01
2.228750000000000142e+01,1.400364925337650277e+02,7.236176133155822754e-01,7.260860204696655273e-01,1.000019431114196777e+00,9.990145564079284668e-01
2.230000000000000071e+01,1.401150323501047694e+02,5.158139467239379883e-01,5.166220664978027344e-01,1.000019431114196777e+00,9.990141391754150391e-01
2.231250000000000000e+01,1.401935721664445111e+02,3.852560222148895264e-01,3.826273977756500244e-01,1.000019431114196777e+00,9.990136027336120605e-01
2.232499999999999929e+01,1.402721119827842529e+02,4.978305101394653320e-01,4.952409863471984863e-01,1.000019431114196777e+00,9.990130066871643066e-01
2.233749999999999858e+01,1.403506517991239946e+02,6.410138607025146484e-01,6.422742009162902832e-01,1.000019550323486328e+00,9.990121722221374512e-01
